"package","afmfile","fontfile","FullName","FamilyName","FontName","Bold","Italic","Symbol","afmsymfile"
NA,"LiberationSerif-BoldItalic.afm.gz","/usr/share/fonts/truetype/liberation/LiberationSerif-BoldItalic.ttf","Liberation Serif Bold Italic","Liberation Serif","LiberationSerif-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"LiberationSerif-Italic.afm.gz","/usr/share/fonts/truetype/liberation/LiberationSerif-Italic.ttf","Liberation Serif Italic","Liberation Serif","LiberationSerif-Italic",FALSE,TRUE,FALSE,NA
NA,"lklug.afm.gz","/usr/share/fonts/truetype/sinhala/lklug.ttf","LKLUG","LKLUG","LKLUG",FALSE,FALSE,FALSE,NA
NA,"lohit_bn.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/lohit_bn.ttf","Lohit Bengali","Lohit Bengali","Lohit-Bengali",FALSE,FALSE,FALSE,NA
NA,"lohit_hi.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/lohit_hi.ttf","Lohit Devanagari","Lohit Devanagari","Lohit-Devanagari",FALSE,FALSE,FALSE,NA
NA,"lohit_gu.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/lohit_gu.ttf","Lohit Gujarati","Lohit Gujarati","Lohit-Gujarati",FALSE,FALSE,FALSE,NA
NA,"lohit_pa.afm.gz","/usr/share/fonts/truetype/ttf-punjabi-fonts/lohit_pa.ttf","Lohit Punjabi","Lohit Punjabi","Lohit-Punjabi",FALSE,FALSE,FALSE,NA
NA,"lohit_ta.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/lohit_ta.ttf","Lohit Tamil","Lohit Tamil","Lohit-Tamil",FALSE,FALSE,FALSE,NA
NA,"Malige-b.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/Malige-b.ttf","Mallige Bold","Mallige","MalligeBold",TRUE,FALSE,FALSE,NA
NA,"Malige-n.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/Malige-n.ttf","Mallige Normal","Mallige","MalligeNormal",FALSE,FALSE,FALSE,NA
NA,"Meera_04.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/Meera_04.ttf","Meera","Meera","Meera",FALSE,FALSE,FALSE,NA
NA,"msam10.afm.gz","/usr/share/fonts/truetype/lyx/msam10.ttf","msam10","msam10","Msam10",FALSE,FALSE,FALSE,NA
NA,"msbm10.afm.gz","/usr/share/fonts/truetype/lyx/msbm10.ttf","msbm10","msbm10","Msbm10",FALSE,FALSE,FALSE,NA
NA,"mtextra.afm.gz","/usr/share/fonts/wps-office/mtextra.ttf","MT Extra","MT Extra","MT-Extra",FALSE,FALSE,FALSE,NA
NA,"MuktiNarrow.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/MuktiNarrow.ttf","Mukti Narrow","Mukti Narrow","muktinarrow",FALSE,FALSE,FALSE,NA
NA,"MuktiNarrowBold.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/MuktiNarrowBold.ttf","Mukti Narrow Bold","Mukti Narrow","muktinarrowbold",TRUE,FALSE,FALSE,NA
NA,"NanumBarunGothic.afm.gz","/usr/share/fonts/truetype/nanum/NanumBarunGothic.ttf","NanumBarunGothic","NanumBarunGothic","NanumBarunGothic",FALSE,FALSE,FALSE,NA
NA,"NanumBarunGothicBold.afm.gz","/usr/share/fonts/truetype/nanum/NanumBarunGothicBold.ttf","NanumBarunGothic Bold","NanumBarunGothic","NanumBarunGothicBold",TRUE,FALSE,FALSE,NA
NA,"NanumGothic.afm.gz","/usr/share/fonts/truetype/nanum/NanumGothic.ttf","NanumGothic","NanumGothic","NanumGothic",FALSE,FALSE,FALSE,NA
NA,"NanumGothicBold.afm.gz","/usr/share/fonts/truetype/nanum/NanumGothicBold.ttf","NanumGothicBold","NanumGothic","NanumGothicBold",TRUE,FALSE,FALSE,NA
NA,"NanumMyeongjo.afm.gz","/usr/share/fonts/truetype/nanum/NanumMyeongjo.ttf","NanumMyeongjo","NanumMyeongjo","NanumMyeongjo",FALSE,FALSE,FALSE,NA
NA,"NanumMyeongjoBold.afm.gz","/usr/share/fonts/truetype/nanum/NanumMyeongjoBold.ttf","NanumMyeongjoBold","NanumMyeongjo","NanumMyeongjoBold",TRUE,FALSE,FALSE,NA
NA,"opens___.afm.gz","/usr/share/fonts/truetype/openoffice/opens___.ttf","OpenSymbol","OpenSymbol","OpenSymbol",FALSE,FALSE,TRUE,NA
NA,"Pothana2000.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/Pothana2000.ttf","Pothana2000","Pothana2000","Pothana2000",FALSE,FALSE,FALSE,NA
NA,"Rachana_04.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/Rachana_04.ttf","Rachana","Rachana","Rachana",FALSE,FALSE,FALSE,NA
NA,"Rekha.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/Rekha.ttf","Rekha","Rekha","Rekha",FALSE,FALSE,FALSE,NA
NA,"rsfs10.afm.gz","/usr/share/fonts/truetype/lyx/rsfs10.ttf","rsfs10","rsfs10","rsfs10",FALSE,FALSE,FALSE,NA
NA,"Saab.afm.gz","/usr/share/fonts/truetype/ttf-punjabi-fonts/Saab.ttf","Saab","Saab","Saab",FALSE,FALSE,FALSE,NA
NA,"TakaoExGothic.afm.gz","/usr/share/fonts/truetype/takao-gothic/TakaoExGothic.ttf","TakaoExGothic","TakaoExGothic","TakaoExGothic",FALSE,FALSE,FALSE,NA
NA,"TakaoExMincho.afm.gz","/usr/share/fonts/truetype/takao-mincho/TakaoExMincho.ttf","TakaoExMincho","TakaoExMincho","TakaoExMincho",FALSE,FALSE,FALSE,NA
NA,"TakaoGothic.afm.gz","/usr/share/fonts/truetype/takao-gothic/TakaoGothic.ttf","TakaoGothic","TakaoGothic","TakaoGothic",FALSE,FALSE,FALSE,NA
NA,"TakaoMincho.afm.gz","/usr/share/fonts/truetype/takao-mincho/TakaoMincho.ttf","TakaoMincho","TakaoMincho","TakaoMincho",FALSE,FALSE,FALSE,NA
NA,"TakaoPGothic.afm.gz","/usr/share/fonts/truetype/takao-gothic/TakaoPGothic.ttf","TakaoPGothic","TakaoPGothic","TakaoPGothic",FALSE,FALSE,FALSE,NA
NA,"TakaoPMincho.afm.gz","/usr/share/fonts/truetype/takao-mincho/TakaoPMincho.ttf","TakaoPMincho","TakaoPMincho","TakaoPMincho",FALSE,FALSE,FALSE,NA
NA,"TibetanMachineUni.afm.gz","/usr/share/fonts/truetype/tibetan-machine/TibetanMachineUni.ttf","Tibetan_Machine_Uni","Tibetan Machine Uni","Tibetan-Machine-Uni",FALSE,FALSE,FALSE,NA
NA,"Ubuntu-R.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-R.ttf","Ubuntu","Ubuntu","Ubuntu",FALSE,FALSE,FALSE,NA
NA,"Ubuntu-B.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-B.ttf","Ubuntu Bold","Ubuntu","Ubuntu-Bold",TRUE,FALSE,FALSE,NA
NA,"Ubuntu-BI.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-BI.ttf","Ubuntu Bold Italic","Ubuntu","Ubuntu-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"Ubuntu-RI.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-RI.ttf","Ubuntu Italic","Ubuntu","Ubuntu-Italic",FALSE,TRUE,FALSE,NA
NA,"Ubuntu-L.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-L.ttf","Ubuntu Light","Ubuntu Light","Ubuntu-Light",FALSE,FALSE,FALSE,NA
NA,"Ubuntu-LI.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-LI.ttf","Ubuntu Light Italic","Ubuntu Light","Ubuntu-LightItalic",FALSE,TRUE,FALSE,NA
NA,"Ubuntu-M.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-M.ttf","Ubuntu Medium","Ubuntu Medium","Ubuntu-Medium",TRUE,FALSE,FALSE,NA
NA,"Ubuntu-MI.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-MI.ttf","Ubuntu Medium Italic","Ubuntu Medium","Ubuntu-MediumItalic",TRUE,TRUE,FALSE,NA
NA,"Ubuntu-C.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/Ubuntu-C.ttf","Ubuntu Condensed","Ubuntu Condensed","UbuntuCondensed-Regular",FALSE,FALSE,FALSE,NA
NA,"UbuntuMono-B.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/UbuntuMono-B.ttf","Ubuntu Mono Bold","Ubuntu Mono","UbuntuMono-Bold",TRUE,FALSE,FALSE,NA
NA,"UbuntuMono-BI.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/UbuntuMono-BI.ttf","Ubuntu Mono Bold Italic","Ubuntu Mono","UbuntuMono-BoldItalic",TRUE,TRUE,FALSE,NA
NA,"UbuntuMono-RI.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/UbuntuMono-RI.ttf","Ubuntu Mono Italic","Ubuntu Mono","UbuntuMono-Italic",FALSE,TRUE,FALSE,NA
NA,"UbuntuMono-R.afm.gz","/usr/share/fonts/truetype/ubuntu-font-family/UbuntuMono-R.ttf","Ubuntu Mono","Ubuntu Mono","UbuntuMono-Regular",FALSE,FALSE,FALSE,NA
NA,"utkal.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/utkal.ttf","utkal medium","utkal","utkal",FALSE,FALSE,FALSE,NA
NA,"Vemana.afm.gz","/usr/share/fonts/truetype/ttf-indic-fonts-core/Vemana.ttf","Vemana2000","Vemana2000","Vemana2000",FALSE,FALSE,FALSE,NA
NA,"wasy10.afm.gz","/usr/share/fonts/truetype/lyx/wasy10.ttf","wasy10","wasy10","wasy10",FALSE,FALSE,FALSE,NA
